Dealer_count,Hit,Outcome,Player_count,Stand
21,1,0,15,0
18,0,1,20,1
19,1,0,9,0
19,1,0,19,0
20,1,0,12,0
12,1,0,11,0
12,0,0,18,1
13,0,1,19,1
14,0,0,18,1
15,1,0,15,0
13,1,1,14,0
13,0,1,20,1
20,1,0,14,0
20,1,0,19,0
20,1,0,21,0
12,1,0,13,0
12,0,0,16,1
12,1,2,7,0
12,0,2,17,1
10,1,0,13,0
16,0,1,19,1
18,0,1,20,1
7,0,1,12,1
18,1,1,13,0
18,1,1,19,0
18,0,1,21,1
13,1,0,12,0
17,0,1,20,1
6,0,1,13,1
14,1,1,12,0
14,1,1,14,0
14,0,1,20,1
7,0,0,13,1
20,1,0,20,0
19,1,0,20,0
6,0,1,21,1
9,1,0,12,0
8,0,1,15,1
5,0,0,14,1
20,1,0,12,0
20,1,0,19,0
14,0,1,17,1
19,1,0,9,0
19,1,0,13,0
19,1,0,10,0
19,1,0,18,0
10,1,1,9,0
10,1,1,11,0
10,0,1,21,1
16,1,1,12,0
16,0,1,20,1
5,0,1,19,1
16,0,1,20,1
14,1,0,13,0
14,0,1,19,1
17,1,1,14,0
17,0,1,20,1
13,0,1,19,1
16,1,0,9,0
16,0,0,19,1
20,1,0,14,0
20,1,0,16,0
20,1,0,18,0
20,1,0,12,0
20,1,0,19,0
9,1,0,6,0
9,0,0,13,1
18,1,1,10,0
18,0,1,20,1
12,0,0,18,1
16,1,1,16,0
16,0,1,19,1
5,1,0,6,0
5,0,0,14,1
20,1,0,15,0
20,1,0,20,0
20,1,0,20,0
13,0,2,21,1
20,1,0,18,0
11,0,0,19,1
18,1,0,5,0
18,1,0,7,0
18,1,0,15,0
18,1,0,19,0
5,0,1,15,1
11,1,0,12,0
13,0,0,18,1
13,1,1,8,0
13,1,1,10,0
13,0,1,19,1
19,0,1,21,1
11,1,0,12,0
11,0,0,17,1
15,1,0,14,0
15,1,0,14,0
14,0,1,20,1
9,0,1,14,1
20,1,0,14,0
8,0,1,15,1
20,1,0,20,0
17,1,0,5,0
17,1,0,10,0
17,1,0,13,0
17,1,0,14,0
17,1,0,17,0
17,1,0,17,0
18,1,1,16,0
18,1,1,14,0
18,1,1,18,0
18,0,1,20,1
19,1,0,9,0
19,1,0,16,0
19,1,0,19,0
14,0,0,18,1
17,1,1,18,0
17,1,1,18,0
17,0,1,21,1
17,1,0,14,0
17,1,0,17,0
16,1,0,12,0
19,1,0,17,0
14,1,1,16,0
14,0,1,20,1
15,0,0,14,1
9,0,0,9,1
6,0,1,20,1
17,0,0,14,1
20,0,0,13,1
20,0,0,18,1
15,0,1,20,1
9,0,1,15,1
16,0,0,18,1
8,0,1,17,1
17,0,1,21,1
12,0,0,10,1
16,0,0,10,1
9,1,0,14,0
9,0,0,16,1
12,0,0,19,1
13,0,1,18,1
18,0,0,12,1
9,1,0,12,0
12,0,0,14,1
14,0,1,15,1
13,0,1,20,1
20,0,0,13,1
14,0,0,19,1
15,0,1,14,1
21,0,0,20,1
19,1,0,13,0
19,1,0,15,0
6,0,0,18,1
19,1,0,17,0
20,1,0,12,0
20,1,0,12,0
20,1,0,14,0
7,0,0,14,1
14,0,1,21,1
13,0,0,18,1
9,0,0,17,1
11,0,1,16,1
13,1,1,12,0
13,0,1,16,1
14,1,1,13,0
14,0,1,17,1
11,0,0,13,1
10,0,1,21,1
17,1,0,15,0
20,1,0,16,0
18,1,1,15,0
18,0,1,20,1
21,1,0,13,0
18,1,0,17,0
14,0,1,17,1
9,0,1,20,1
18,0,1,20,1
12,1,0,12,0
13,1,1,12,0
13,0,1,17,1
12,0,1,16,1
14,1,0,12,0
18,1,0,17,0
11,1,0,18,0
13,1,0,10,0
13,1,0,12,0
13,1,0,17,0
20,1,0,7,0
20,1,0,14,0
20,1,0,20,0
14,1,0,10,0
14,1,0,13,0
14,1,0,20,0
6,0,1,14,1
17,1,0,16,0
17,1,0,17,0
13,1,0,21,0
13,1,0,12,0
13,1,0,19,0
11,1,0,16,0
11,1,0,21,0
15,1,0,16,0
13,1,0,15,0
13,1,0,19,0
16,1,0,6,0
16,1,0,12,0
16,1,0,20,0
6,0,0,12,1
17,1,0,21,0
17,1,0,15,0
17,1,0,14,0
17,1,0,19,0
17,1,0,21,0
17,1,0,21,0
20,1,0,14,0
5,0,0,18,1
15,1,0,13,0
15,1,0,17,0
13,1,0,21,0
13,1,0,13,0
13,1,0,16,0
13,1,0,20,0
5,0,1,14,1
20,1,0,14,0
7,0,0,13,1
8,0,1,16,1
18,1,0,19,0
19,1,0,13,0
19,1,0,19,0
19,1,0,20,0
20,1,0,17,0
19,1,0,16,0
5,0,1,7,1
17,1,0,12,0
11,1,1,16,0
11,0,1,21,1
13,1,0,10,0
13,1,0,13,0
13,1,0,19,0
13,1,0,16,0
15,1,0,18,0
15,1,0,20,0
21,1,0,15,0
10,1,1,8,0
10,1,1,10,0
10,0,1,20,1
15,1,0,10,0
15,1,0,21,0
15,1,0,18,0
13,1,0,14,0
5,0,0,17,1
20,1,0,18,0
20,1,0,19,0
12,1,0,6,0
12,1,0,16,0
12,0,1,20,1
16,1,0,12,0
16,1,0,20,0
19,1,0,15,0
17,1,0,13,0
19,1,0,11,0
19,1,0,12,0
12,1,0,14,0
12,1,0,15,0
20,1,0,10,0
20,1,0,21,0
20,1,0,17,0
16,1,0,13,0
16,1,0,15,0
16,1,0,21,0
16,1,0,21,0
10,1,0,5,0
10,1,0,15,0
10,1,0,16,0
10,1,0,19,0
20,1,0,15,0
11,1,0,12,0
15,1,0,18,0
18,1,0,14,0
18,1,0,16,0
8,1,0,10,0
8,1,0,17,0
8,1,0,18,0
6,1,0,21,0
6,1,0,17,0
16,1,0,12,0
13,1,0,5,0
13,1,0,16,0
13,1,0,14,0
13,1,0,19,0
15,1,0,20,0
19,1,0,13,0
19,1,0,21,0
13,1,0,15,0
13,1,0,16,0
13,1,0,16,0
17,1,0,7,0
17,1,0,17,0
9,1,0,18,0
13,1,0,13,0
13,1,0,15,0
15,1,0,20,0
14,1,0,20,0
12,1,0,9,0
12,1,0,20,0
12,1,0,14,0
16,1,0,13,0
16,1,0,15,0
16,1,0,15,0
16,1,0,20,0
14,1,0,14,0
21,1,0,8,0
21,1,0,12,0
14,1,0,14,0
14,1,0,20,0
19,1,0,15,0
6,1,0,10,0
6,1,0,20,0
6,0,1,21,1
11,0,0,20,1
10,1,0,6,0
10,1,0,10,0
10,1,0,12,0
13,1,0,17,0
20,1,0,12,0
20,1,0,17,0
21,1,0,10,0
21,1,0,17,0
21,1,0,18,0
16,1,0,17,0
20,1,0,17,0
16,1,0,9,0
16,1,0,16,0
16,1,0,17,0
21,1,0,20,0
6,0,1,17,1
14,1,0,12,0
12,1,0,13,0
12,0,1,19,1
5,0,2,19,1
12,0,1,19,1
16,1,0,9,0
16,1,0,19,0
13,1,0,6,0
13,1,0,12,0
13,1,0,14,0
15,1,0,13,0
15,1,0,13,0
15,0,0,20,1
12,0,1,17,1
13,1,1,15,0
13,1,1,16,0
13,0,1,21,1
14,1,0,12,0
14,1,0,13,0
14,1,0,15,0
11,1,0,14,0
10,0,0,16,1
14,1,0,10,0
14,1,0,12,0
8,0,0,12,1
14,0,2,20,1
14,1,0,15,0
14,0,1,20,1
21,1,0,7,0
21,1,0,17,0
10,0,0,19,1
14,1,0,7,0
14,1,0,12,0
14,1,0,19,0
5,0,1,20,1
20,1,0,20,0
11,1,0,14,0
20,1,0,16,0
20,1,0,19,0
11,1,0,14,0
10,0,0,16,1
13,0,1,20,1
14,0,1,21,1
20,1,0,19,0
20,1,0,20,0
14,1,1,13,0
14,0,1,20,1
14,1,0,16,0
14,1,0,13,0
19,1,0,8,0
19,1,0,19,0
19,1,0,12,0
19,1,0,21,0
17,1,0,12,0
13,1,1,16,0
13,0,1,19,1
20,1,0,10,0
20,1,0,20,0
12,1,1,13,0
12,1,1,15,0
12,0,1,19,1
19,1,0,21,0
19,1,0,13,0
16,1,0,16,0
16,1,0,14,0
7,0,1,21,1
10,0,1,18,1
17,1,0,16,0
17,1,0,14,0
17,1,0,18,0
17,1,0,21,0
12,0,1,21,1
11,0,1,19,1
21,1,0,12,0
17,1,0,12,0
17,1,0,21,0
9,0,2,18,1
21,1,0,11,0
21,1,0,21,0
14,1,0,15,0
14,1,0,15,0
17,1,0,9,0
17,1,0,20,0
17,1,0,13,0
17,1,0,15,0
17,1,0,17,0
17,1,0,20,0
21,1,0,11,0
21,1,0,18,0
13,1,0,7,0
13,1,0,16,0
16,1,0,8,0
16,1,0,19,0
16,1,0,12,0
16,1,0,16,0
10,0,0,14,1
5,0,0,12,1
17,1,0,20,0
17,1,0,21,0
20,1,0,9,0
20,1,0,16,0
14,1,1,18,0
14,0,1,19,1
12,0,1,19,1
18,1,0,14,0
18,1,0,19,0
8,0,1,16,1
14,1,1,18,0
14,0,1,20,1
11,1,1,15,0
11,0,1,19,1
8,0,0,13,1
17,1,0,13,0
15,1,0,19,0
15,1,0,13,0
15,1,0,16,0
13,0,1,18,1
16,1,0,13,0
10,1,1,12,0
10,0,1,21,1
12,1,0,16,0
12,0,0,18,1
19,1,0,21,0
19,1,0,21,0
8,0,1,12,1
13,1,1,11,0
13,0,1,21,1
13,1,1,11,0
13,1,1,13,0
13,0,1,21,1
10,0,1,21,1
14,0,0,19,1
17,1,0,4,0
17,1,0,14,0
21,1,0,19,0
21,1,0,18,0
5,0,1,12,1
16,1,0,6,0
16,1,0,15,0
16,1,0,16,0
18,1,0,14,0
18,1,0,17,0
10,0,1,19,1
8,0,1,19,1
12,0,1,19,1
16,1,0,11,0
16,1,0,20,0
20,1,0,20,0
11,1,0,14,0
17,1,0,13,0
17,1,0,17,0
11,1,2,10,0
11,0,2,21,1
20,1,0,5,0
20,1,0,16,0
20,1,0,20,0
20,1,0,18,0
14,1,0,7,0
14,1,0,17,0
7,0,1,19,1
17,1,0,15,0
17,1,0,11,0
17,1,0,20,0
11,0,0,17,1
9,0,0,15,1
21,1,0,5,0
21,1,0,8,0
21,1,0,18,0
17,1,0,12,0
17,1,0,13,0
12,1,0,14,0
17,1,0,9,0
17,1,0,19,0
10,0,1,16,1
11,1,0,6,0
11,0,0,16,1
13,1,0,14,0
13,1,0,14,0
15,1,0,6,0
15,1,0,16,0
15,1,0,20,0
6,0,1,11,1
21,1,0,6,0
21,1,0,13,0
21,1,0,21,0
12,0,1,20,1
17,1,0,10,0
17,1,0,19,0
10,0,0,17,1
20,1,0,4,0
20,1,0,6,0
20,1,0,9,0
20,1,0,11,0
20,1,0,20,0
15,1,0,6,0
15,1,0,16,0
15,1,0,12,0
15,1,0,18,0
12,0,2,21,1
17,1,0,14,0
17,1,0,19,0
17,1,0,20,0
11,0,2,21,1
19,1,0,15,0
19,1,0,17,0
19,1,0,20,0
17,1,0,11,0
17,1,0,18,0
17,1,0,19,0
17,1,0,21,0
15,1,0,16,0
15,1,0,18,0
21,1,0,18,0
21,1,0,19,0
21,1,0,21,0
7,1,1,9,0
7,0,1,19,1
13,1,1,10,0
13,0,1,20,1
19,1,0,20,0
19,1,0,20,0
16,1,0,14,0
16,1,0,17,0
10,0,1,16,1
16,1,0,15,0
16,1,0,19,0
16,1,0,21,0
20,1,0,9,0
20,1,0,18,0
17,1,0,13,0
17,1,0,16,0
16,1,0,17,0
16,1,0,21,0
14,1,0,12,0
14,1,0,14,0
14,1,0,16,0
16,1,0,19,0
15,1,0,15,0
15,1,0,20,0
17,1,0,7,0
17,1,0,16,0
17,1,0,20,0
13,1,0,10,0
13,1,0,15,0
13,1,0,17,0
21,1,0,17,0
21,1,0,12,0
21,1,0,20,0
20,1,0,13,0
20,1,0,15,0
20,1,0,21,0
9,0,0,14,1
20,1,0,14,0
20,1,0,18,0
16,1,0,13,0
15,1,0,16,0
19,1,0,12,0
10,1,0,12,0
15,1,0,16,0
5,0,0,11,1
14,1,0,10,0
14,1,0,17,0
14,1,0,18,0
14,1,0,18,0
16,1,0,4,0
16,1,0,15,0
16,1,0,20,0
16,1,0,20,0
11,1,0,12,0
11,0,0,16,1
17,1,0,13,0
17,1,0,13,0
21,1,0,11,0
21,1,0,13,0
21,1,0,20,0
18,1,0,7,0
18,1,0,17,0
20,1,0,13,0
20,1,0,17,0
16,1,0,12,0
21,1,0,19,0
21,1,0,16,0
21,1,0,18,0
10,0,0,14,1
12,0,1,17,1
17,1,0,13,0
17,1,0,17,0
17,1,0,20,0
17,1,0,15,0
17,1,0,21,0
16,1,0,7,0
16,1,0,12,0
16,1,0,18,0
10,1,1,12,0
10,0,1,21,1
6,0,1,20,1
10,1,0,9,0
10,0,0,19,1
16,1,0,16,0
20,1,0,9,0
20,1,0,15,0
20,1,0,16,0
8,0,1,12,1
18,1,0,7,0
18,1,0,11,0
18,1,0,15,0
12,0,0,18,1
14,1,1,15,0
14,1,1,20,0
14,0,1,21,1
9,1,0,6,0
9,1,0,12,0
9,1,0,13,0
19,1,0,20,0
21,1,0,6,0
21,1,0,16,0
21,1,0,21,0
17,1,0,18,0
15,1,0,20,0
15,1,0,21,0
17,1,0,9,0
17,1,0,18,0
14,1,0,18,0
14,1,0,20,0
14,1,0,20,0
15,1,0,11,0
15,1,0,21,0
11,1,0,14,0
16,1,0,17,0
19,1,0,14,0
19,1,0,20,0
19,1,0,6,0
19,1,0,16,0
10,0,0,17,1
10,1,1,13,0
10,0,1,19,1
21,1,0,13,0
21,1,0,19,0
21,1,0,12,0
21,1,0,19,0
7,0,1,20,1
20,1,0,18,0
20,1,0,20,0
20,1,0,14,0
20,1,0,14,0
